,id,title,description,cpu,gpu,ram,motherboard,storage,price,cpu_id,gpu_id,ram_id,motherboard_id,disk_storage_id
10,11,High End 1080p Gaming PC - AMD,"This PC uses the best components from AMD to create a fast-paced gaming powerhouse. With a powerful Zen 3 CPU, optimised RAM, and a powerful GPU it will deliver ultimate performance in first person shooters and competitive online games. Harness the power of an Nvidia GPU to stream with minimal impact on your own play. With fantastic quality parts throughout this PC represents the best performance AMD can offer.",AMD Ryzen 7 5800X,EVGA RTX 3070 LHR FTW3 Ultra Gaming iCX3,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550 Aorus Elite AX V2,Seagate FireCuda 520 2 TB,1617,11,11,11,11,11
11,12,Mid Range 4K Gaming PC - AMD,"This PC balances performance and value to find that perfect sweet spot. You get all the performance, some nice features and looks, without overspending. We've prioritised a high performance graphics card to get the best out of the visuals of the latest 4K Games and paired it with a strong supporting CPU. This PC is a fantastic all rounder that will game and work equally well.",AMD Ryzen 7 5800X,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,PNY XLR8 CS03040 1 TB,1614,12,12,12,12,12
12,13,High End 1080p Gaming PC - Intel,This PC uses our top tier part picks to deliver an outstanding gaming PC. It's aimed at exceptionally high performance in competitive shooters and gorgeous visuals in the latest AAA titles. It will also stream your gameplay with ease. We've chosen the best performing parts and a powerful GPU to ensure that your PC is never found wanting.,Intel Core i5-12600KF,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Seagate FireCuda 520 2 TB,1609,13,13,13,13,13
13,14,Mid Range Video Editing Workstation PC,"This PC uses the latest components to deliver an outstanding video editing workstation. Optimised for Adobe suite applications (Premiere Pro, After Effects) as well as other popular editing software, it uses a high performance processor, SSDs and RAM to ensure you can work without hindrance. We have opted for DDR4 RAM as performance is identical to DDR5 in almost all situations but it saves significant cost. You can select from a range of Nvidia GPUs to accelerate your workflow and video rendering. The recommended RTX 3060 includes 12GB VRAM and the latest RTX tensor cores to allow entry-level 3D content creation and even machine learning. Drives are selected to offer peak performance without excessive cost, so add scratch and archive drives to suit your needs. When the workday is done, this system runs the latest games well too!",Intel Core i7-12700,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,ASRock Z690 Extreme,Crucial P5 Plus 1 TB,1414,14,14,14,14,14
14,15,Mid Range Flight Simulator 2020 PC - AMD,"This PC is optimised for Flight Simulator 2020 and similar simulators like DCS World and XPlane 11. We've based the specification on our extensive testing so we're confident this is as good as it gets at the price point. It's aimed at a great 1440p sim experience at an optimal cost and you can tweak the options to fit your budget and desired performance. The AMD Ryzen 7 CPU performs equivalently to Intel's Alder Lake i5-12600K/i7-12700, and once available the CPU upgrade option to the Ryzen 5800X3D makes this a Flight Sim powerhouse!",AMD Ryzen 7 5800X,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,1286,15,15,15,15,15
15,16,Mid Range 1440p Gaming PC - AMD,"This PC finds the balance by using the best parts without breaking the bank. We've chosen a high performance AMD Ryzen 5 CPU, 16GB of RAM optimised for speed and a powerful graphics card. This versatile system enables you to play the latest AAA games at high settings with good frame rates, and it'll stream well too.",AMD Ryzen 5 5600,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,1180,16,16,16,16,16
16,17,Mid Range 1440p Gaming PC - Intel,"This PC finds the balance between using the best parts without breaking the bank. We've chosen a high performance 12th generation Intel i5 CPU, 16GB of RAM and a powerful graphics card. This versatile system enables you to play the latest AAA games at high settings with good frame rates, and it'll stream well too.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,1165,17,17,17,17,17
17,18,Budget 4K Gaming PC - Intel,"This PC uses great value but powerful parts and prioritises a high-performance graphics card, to deliver the best possible 4K experience for the money. It uses a CPU and RAM optimised to deliver a 4K 60FPS experience in demanding AAA titles but it's a versatile all-rounder that will also be excellent for creative or administrative work.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,1159,18,18,18,18,18
18,19,Entry Level Video Editing Workstation PC,"This PC is aimed at people looking to get started in video editing, making short less complex productions like commercials, business footage or YouTube content. However, it's still capable of handling 4K footage and delivers excellent performance in applications like Sony Vegas, Adobe Premiere Pro and DaVinci Resolve. We pair a capable cost-effective CPU with 32GB of RAM, and a good quality SSD for optimum performance at the price. We also add an Nvidia GPU which accelerates many video editing processes and effects as well as transcodes and renders. You can remove the GPU to reduce the initial cost and the PC will still function, but it will reduce rendering performance considerably. We present a range of storage options and would recommend the addition of a separate 'scratch' SSD to assist in editing fluidity and file organisation. This PC represents the best video production performance currently available at the price.",Intel Core i5-12400,Gigabyte RTX 3050 8GB EAGLE OC,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,Gigabyte B660 Aorus Master DDR4,PNY XLR8 CS03040 1 TB,1078,19,19,19,19,19
19,20,Mid Range 1080p Esports PC - AMD,"This build represents the best price to performance AMD currently have to offer. We've paired a fantastic Zen 3 CPU with optimsed RAM to boost performance. It's aimed at high performance 1080p gaming, with high frame rates in competitive games and wonderful visuals in AAA titles. We've opted for an Nvidia GPU for it's superior performance in Fortnite as well as the included Nvenc Encoder for streaming, but you can switch to an AMD GPU if you prefer.",AMD Ryzen 5 5600,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,1004,20,20,20,20,20
20,21,Entry Level Flight Simulator PC - Intel,This PC is optimised for Flight Simulator 2020 and similar simulators like DCS World and X-Plane 11. We've based the specification on our extensive testing so we're confident this is as good as it gets at the price point. It's aimed at a great 1080p sim experience at an optimal cost and you can tweak the options to fit your budget and desired performance.,Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,981,21,21,21,21,21
21,22,Entry Level Flight Simulator PC - AMD,This PC is optimised for Flight Simulator 2020 and similar simulators like DCS World and X-Plane 11. We've based the specification on our extensive testing so we're confident this is as good as it gets at the price point. It's aimed at a great 1080p sim experience at an optimal cost and you can tweak the options to fit your budget and desired performance.,AMD Ryzen 5 5600X,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,Team T-Force Dark Za 16 GB DDR4-3600 CL18,MSI B550M-A Pro,Silicon Power A60 1 TB,977,22,22,22,22,22
22,23,Mid Range 1080p Esports PC - Intel,"This PC uses the high performance and good value 12th generation Intel CPUs to deliver fantastic gaming performance. We optimise Motherboard and RAM choices to ensure you're getting the best out of the CPU and include 1TB of SSD storage. We've selected the RTX 3060 GPU for it's superior performance in Fortnite as well as the included NVENC encoder for streaming, but we also present AMD options if you prefer. This PC will excel in high FPS competitive games as well as AAA titles.",Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,966,23,23,23,23,23
23,24,Compact 1080p Gaming PC - AMD,"This small form factor build packs a lot into a little space! Aimed at high performance 1080p gaming, it's ideal if you need to take it with you, have limited space, or just prefer a smaller PC. It will handle a broad range of games well thanks to the versatile Graphics card and excellent Zen 3 CPU. The Case is chosen for it's flexibility and ease of build if you're new to Small Form Factor PCs, as well as good cooling characteristics.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550I Aorus Pro AX,Silicon Power A60 1 TB,955,24,24,24,24,24
24,25,Budget 1440p Gaming PC - Intel,"This PC uses great value parts and a strong GPU to deliver good performance in games at 1440p resolution. All the parts are carefully selected to offer you the most for your money. It will play AAA titles well at medium to high graphical settings, and is ideally suited to strategy and other slower paced titles, but it'll still do well in more demanding AAA titles and fast paced shooters!",Intel Core i5-10400F,Gigabyte RTX 3060 Ti Gaming OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M-A Pro,Silicon Power A60 1 TB,929,25,25,25,25,25
25,26,Mid Range 1080p Gaming PC - AMD,"This build represents the best price to performance AMD currently have to offer. Taking advantage of recent Zen 3 discounts, it gets you a fantastic CPU and strong GPU at the price. It's aimed at high performance 1080p gaming, with high frame rates in competitive games and wonderful visuals in AAA titles.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,924,26,26,26,26,26
26,27,Mid Range 1080p Gaming PC - Intel,This PC uses the high performance and good value 12th generation Intel CPUs to deliver fantastic gaming performance. We optimise Motherboard and RAM choices to ensure you're getting the best out of the CPU and include 1TB of SSD storage. We search for the lowest price on GPUs that deliver good performance at 1080p resolution. This PC will excel in high FPS competitive games as well as AAA titles.,Intel Core i5-12400F,PowerColor RX 6600 XT Fighter,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,886,27,27,27,27,27
27,28,Budget 1080p Esports Gaming PC - Intel,"This PC uses Intel's great value but powerful 4-core, i3 12th generation CPU to deliver great gaming performance without breaking the bank. It's aimed at esports and less demanding titles at 1080p but will play AAA games and more demanding titles at reduced settings. We've picked the Nvidia graphics card owing to it's increased performance in Fortnite specifically but you can choose from AMD options if you prefer. We also present a range of good value GPU upgrades if you want to boost performance a little. We've rounded the build out with great value parts for RAM, storage and power supply to ensure you get a PC that will run well and stand the test of time.",Intel Core i3-12100,Gigabyte RTX 3050 8GB EAGLE OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,716,28,28,28,28,28
28,29,Entry Level 1080p Gaming PC - AMD,"This PC uses AMD's great value Ryzen CPU to deliver great gaming performance without breaking the bank. It's aimed at esports and less demanding titles at 1080p but will play AAA games and more demanding titles at reduced settings. The AMD RX 6500XT is currently the best value 1080p graphics card, giving a good entry-level experience. We also present a range of GPU upgrades if you want to boost performance a little. We've rounded the build out with great value parts for RAM, storage and power supply to ensure you get a PC that will run well and stand the test of time.",AMD Ryzen 5 5600,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B550M-A Pro,Silicon Power P34A60 512 GB,584,29,29,29,29,29
29,30,Budget 1080p Gaming PC - Intel,"This PC uses Intel's great value but powerful 4-core, i3 12th generation CPU to deliver great gaming performance without breaking the bank. It's aimed at esports and less demanding titles at 1080p but will play AAA games and more demanding titles at reduced settings. PCIe 4.0 capability ensures the recommended 6500XT is performing optimally, giving a good entry-level 1080p graphics solution. We also present a range of good value GPU upgrades if you want to boost performance a little. We've rounded the build out with great value parts for RAM, storage and power supply to ensure you get a PC that will run well and stand the test of time.",Intel Core i3-12100,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,577,30,30,30,30,30
30,31,Starter 1080p Gaming PC - AMD Integrated Graphics,"This PC uses AMD's powerful 'APU' processors. They have an integrated graphics processor that allows you to get gaming without buying a separate GPU. They are capable of playing simpler 3D games well at 1080p, and more demanding games at reduced settings. We pair this with high-speed RAM to optimise performance and pick the best value parts to get you started at a minimal cost. We've chosen a power supply that supports the addition of a GPU so that you can upgrade this to an excellent all-round gaming PC without additional purchases.",AMD Ryzen 5 5600G,Integrated graphics,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,546,31,31,31,31,31
