,id,title,description,cpu,gpu,ram,motherboard,storage,price
10,11,Hochwertiger 1080p Gaming-PC - AMD,"Dieser PC nutzt die besten Komponenten von AMD, um ein rasantes Gaming-Kraftpaket zu schaffen. Mit einer leistungsstarken Zen 3-CPU, optimiertem Arbeitsspeicher und einem leistungsstarken Grafikprozessor liefert er ultimative Leistung in Ego-Shootern und kompetitiven Online-Spielen. Nutzen Sie die Leistung einer Nvidia-GPU für Streaming mit minimalen Auswirkungen auf Ihr eigenes Spiel. Mit fantastischen Qualitätskomponenten repräsentiert dieser PC die beste Leistung, die AMD bieten kann.",AMD Ryzen 7 5800X,EVGA RTX 3070 LHR FTW3 Ultra Gaming iCX3,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550 Aorus Elite AX V2,Seagate FireCuda 520 2 TB,"$1,617"
11,12,Mittelklasse 4K Gaming PC - AMD,"Dieser PC bietet ein ausgewogenes Verhältnis zwischen Leistung und Wert, um den perfekten Sweet Spot zu finden. Sie erhalten die gesamte Leistung, einige nette Funktionen und das Aussehen, ohne zu viel Geld auszugeben. Wir haben einer Hochleistungs-Grafikkarte den Vorzug gegeben, um das Beste aus der Grafik der neuesten 4K-Spiele herauszuholen, und sie mit einer starken CPU gepaart. Dieser PC ist ein fantastischer Allrounder, der gleichermaßen gut zum Spielen und Arbeiten geeignet ist.",AMD Ryzen 7 5800X,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,PNY XLR8 CS03040 1 TB,"$1,614"
12,13,Hochwertiger 1080p-Gaming-PC - Intel,"Dieser PC nutzt unsere erstklassigen Komponenten, um einen herausragenden Gaming-PC zu liefern. Er zielt auf eine außergewöhnlich hohe Leistung in kompetitiven Shootern und eine atemberaubende Grafik in den neuesten AAA-Titeln ab. Außerdem können Sie Ihr Spiel mühelos streamen. Wir haben die leistungsfähigsten Komponenten und einen leistungsstarken Grafikprozessor ausgewählt, um sicherzustellen, dass es Ihrem PC an nichts mangelt.",Intel Core i5-12600KF,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Seagate FireCuda 520 2 TB,"$1,609"
13,14,Mittelklasse-Workstation für die Videobearbeitung PC,"Dieser PC ist mit den neuesten Komponenten ausgestattet, um eine hervorragende Workstation für die Videobearbeitung zu bieten. Optimiert für Anwendungen der Adobe Suite (Premiere Pro, After Effects) sowie andere beliebte Bearbeitungssoftware, verwendet er einen Hochleistungsprozessor, SSDs und RAM, um sicherzustellen, dass Sie ungehindert arbeiten können. Wir haben uns für DDR4-RAM entschieden, da die Leistung in fast allen Situationen mit DDR5 identisch ist, aber erhebliche Kosten gespart werden können. Sie können aus einer Reihe von Nvidia-GPUs wählen, um Ihren Workflow und das Rendering von Videos zu beschleunigen. Der empfohlene RTX 3060 verfügt über 12 GB VRAM und die neuesten RTX-Tensorkerne, um die Erstellung von 3D-Inhalten und sogar maschinelles Lernen auf Einstiegsniveau zu ermöglichen. Die Laufwerke wurden so ausgewählt, dass sie Spitzenleistung ohne übermäßige Kosten bieten, sodass Sie je nach Bedarf Scratch- und Archivlaufwerke hinzufügen können. Nach getaner Arbeit läuft dieses System auch mit den neuesten Spielen gut!",Intel Core i7-12700,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,ASRock Z690 Extreme,Crucial P5 Plus 1 TB,"$1,414"
14,15,Mittelklasse Flugsimulator 2020 PC - AMD,"Dieser PC ist für den Flight Simulator 2020 und ähnliche Simulatoren wie DCS World und XPlane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Es zielt auf ein großartiges 1440p-Simulationserlebnis zu einem optimalen Preis ab, und Sie können die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewünschten Leistung passen. Die AMD Ryzen 7-CPU ist gleichwertig mit Intels Alder Lake i5-12600K/i7-12700, und sobald die CPU-Upgrade-Option auf den Ryzen 5800X3D verfügbar ist, wird dieses Gerät zu einem Flight Sim Powerhouse!",AMD Ryzen 7 5800X,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,"$1,286"
15,16,Mittelklasse 1440p Gaming PC - AMD,"Dieser PC findet die Balance, indem er die besten Komponenten verwendet, ohne das Budget zu sprengen. Wir haben uns für eine leistungsstarke AMD Ryzen 5-CPU, 16 GB Arbeitsspeicher, die auf Geschwindigkeit optimiert sind, und eine leistungsstarke Grafikkarte entschieden. Mit diesem vielseitigen System können Sie die neuesten AAA-Spiele mit hohen Einstellungen und guten Bildraten spielen, und es lässt sich auch gut streamen.",AMD Ryzen 5 5600,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,"$1,180"
16,17,Mittelklasse 1440p Gaming PC - Intel,"Dieser PC schafft den Spagat, die besten Komponenten zu verwenden, ohne das Budget zu sprengen. Wir haben uns für eine leistungsstarke Intel i5-CPU der 12. Generation, 16 GB RAM und eine leistungsstarke Grafikkarte entschieden. Mit diesem vielseitigen System können Sie die neuesten AAA-Spiele mit hohen Einstellungen und guten Frameraten spielen und auch gut streamen.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,"$1,165"
17,18,Günstiger 4K-Gaming-PC - Intel,"Dieser PC verwendet preiswerte, aber leistungsstarke Komponenten und setzt auf eine leistungsstarke Grafikkarte, um das bestmögliche 4K-Erlebnis für das Geld zu liefern. Die CPU und der Arbeitsspeicher sind für 4K 60FPS in anspruchsvollen AAA-Titeln optimiert, aber er ist ein vielseitiger Allrounder, der sich auch hervorragend für kreative oder administrative Arbeiten eignet.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,"$1,159"
18,19,Einstiegs-PC für die Videobearbeitung,"Dieser PC richtet sich an Personen, die in die Videobearbeitung einsteigen und kurze, weniger komplexe Produktionen wie Werbespots, Geschäftsfilme oder YouTube-Inhalte erstellen möchten. Dennoch ist er in der Lage, 4K-Material zu verarbeiten und liefert eine hervorragende Leistung in Anwendungen wie Sony Vegas, Adobe Premiere Pro und DaVinci Resolve. Wir kombinieren eine leistungsfähige, kostengünstige CPU mit 32 GB RAM und einer hochwertigen SSD für optimale Leistung zu diesem Preis. Außerdem fügen wir einen Nvidia-Grafikprozessor hinzu, der viele Videobearbeitungsprozesse und -effekte sowie Transcodierungen und Renderings beschleunigt. Sie können den Grafikprozessor entfernen, um die Anschaffungskosten zu senken. Der PC funktioniert dann zwar immer noch, aber die Rendering-Leistung wird erheblich reduziert. Wir stellen eine Reihe von Speicheroptionen vor und empfehlen den Einbau einer separaten ""Scratch""-SSD, um die flüssige Bearbeitung und Dateiorganisation zu unterstützen. Dieser PC stellt die beste Videoproduktionsleistung dar, die derzeit zu diesem Preis erhältlich ist.",Intel Core i5-12400,Gigabyte RTX 3050 8GB EAGLE OC,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,Gigabyte B660 Aorus Master DDR4,PNY XLR8 CS03040 1 TB,"$1,078"
19,20,Mittelklasse 1080p Esports PC - AMD,"Dieser Build stellt das beste Preis-Leistungs-Verhältnis dar, das AMD derzeit zu bieten hat. Wir haben eine fantastische Zen 3-CPU mit optimiertem RAM gepaart, um die Leistung zu steigern. Es zielt auf leistungsstarkes 1080p-Gaming ab, mit hohen Frameraten in kompetitiven Spielen und wunderbarer Grafik in AAA-Titeln. Wir haben uns für eine Nvidia-GPU entschieden, da sie in Fortnite eine überragende Leistung bietet und der Nvenc Encoder für das Streaming mitgeliefert wird, aber du kannst auch zu einer AMD-GPU wechseln, wenn du das möchtest.",AMD Ryzen 5 5600,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,"$1,004"
20,21,Einsteiger-Flugsimulator PC - Intel,"Dieser PC ist für den Flight Simulator 2020 und ähnliche Simulatoren wie DCS World und X-Plane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Sie zielt auf ein großartiges 1080p-Simulationserlebnis zu einem optimalen Preis ab und Sie können die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewünschten Leistung passen.",Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,$981
21,22,Einsteiger-Flugsimulator PC - AMD,"Dieser PC ist für den Flight Simulator 2020 und ähnliche Simulatoren wie DCS World und X-Plane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Sie zielt auf ein großartiges 1080p-Simulationserlebnis zu einem optimalen Preis ab und Sie können die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewünschten Leistung passen.",AMD Ryzen 5 5600X,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,Team T-Force Dark Za 16 GB DDR4-3600 CL18,MSI B550M-A Pro,Silicon Power A60 1 TB,$977
22,23,Mittelklasse 1080p Esports PC - Intel,"Dieser PC nutzt die leistungsstarken und preiswerten Intel-CPUs der 12. Generation, um eine fantastische Spieleleistung zu liefern. Wir optimieren die Wahl des Motherboards und des Arbeitsspeichers, um sicherzustellen, dass Sie das Beste aus der CPU herausholen, und bieten 1 TB SSD-Speicher an. Wir haben uns für den RTX 3060-Grafikprozessor entschieden, weil er in Fortnite eine überragende Leistung erbringt und einen NVENC-Encoder für das Streaming enthält, aber wir bieten auch AMD-Optionen an, falls Sie dies bevorzugen. Dieser PC wird sowohl in kompetitiven Spielen mit hohen FPS als auch in AAA-Titeln brillieren.",Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,$966
23,24,Kompakter 1080p-Gaming-PC - AMD,"Dieses Gehäuse mit kleinem Formfaktor bietet viel Platz auf kleinem Raum! Er ist auf leistungsstarke 1080p-Spiele ausgerichtet und ideal, wenn Sie ihn mitnehmen müssen, wenig Platz haben oder einfach einen kleineren PC bevorzugen. Dank der vielseitigen Grafikkarte und der exzellenten Zen 3-CPU kommt er mit einer breiten Palette von Spielen gut zurecht. Das Gehäuse wurde aufgrund seiner Flexibilität und des einfachen Aufbaus ausgewählt, wenn Sie neu im Bereich der PCs mit kleinem Formfaktor sind, sowie wegen seiner guten Kühleigenschaften.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550I Aorus Pro AX,Silicon Power A60 1 TB,$955
24,25,Preiswerter 1440p-Gaming-PC - Intel,"Dieser PC verwendet preiswerte Komponenten und einen starken Grafikprozessor, um eine gute Leistung bei Spielen mit einer Auflösung von 1440p zu erzielen. Alle Komponenten wurden sorgfältig ausgewählt, um Ihnen das Beste für Ihr Geld zu bieten. Er spielt AAA-Titel gut bei mittleren bis hohen Grafikeinstellungen und ist ideal für Strategie- und andere langsamere Titel geeignet, aber er wird auch bei anspruchsvolleren AAA-Titeln und schnellen Shootern gut abschneiden!",Intel Core i5-10400F,Gigabyte RTX 3060 Ti Gaming OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M-A Pro,Silicon Power A60 1 TB,$929
25,26,Mittelklasse 1080p Gaming PC - AMD,"Dieses Build stellt das beste Preis-Leistungs-Verhältnis dar, das AMD derzeit zu bieten hat. Unter Ausnutzung der jüngsten Zen 3-Rabatte erhalten Sie eine fantastische CPU und eine starke GPU zum gleichen Preis. Es zielt auf leistungsstarkes 1080p-Gaming ab, mit hohen Frameraten in kompetitiven Spielen und wunderbarer Grafik in AAA-Titeln.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,$924
26,27,Mittelklasse 1080p Gaming PC - Intel,"Dieser PC verwendet die leistungsstarken und preiswerten Intel-CPUs der 12. Generation, um eine fantastische Spieleleistung zu erzielen. Wir optimieren die Wahl des Motherboards und des Arbeitsspeichers, um sicherzustellen, dass Sie das Beste aus der CPU herausholen, und bieten 1 TB SSD-Speicher an. Wir suchen nach dem niedrigsten Preis für GPUs, die eine gute Leistung bei 1080p-Auflösung liefern. Dieser PC wird sowohl in kompetitiven Spielen mit hohen FPS als auch in AAA-Titeln brillieren.",Intel Core i5-12400F,PowerColor RX 6600 XT Fighter,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,$886
27,28,Budget 1080p Esports Gaming PC - Intel,"Dieser PC nutzt Intels preisgünstige, aber leistungsstarke 4-Kern-i3-CPU der 12. Generation, um eine großartige Spieleleistung zu liefern, ohne das Budget zu sprengen. Er zielt auf Esports und weniger anspruchsvolle Titel bei 1080p ab, spielt aber auch AAA-Spiele und anspruchsvollere Titel bei reduzierten Einstellungen. Wir haben uns für die Nvidia-Grafikkarte entschieden, da sie speziell in Fortnite eine höhere Leistung bietet, aber Sie können auch aus AMD-Optionen wählen, wenn Sie dies bevorzugen. Wir stellen auch eine Reihe von preiswerten GPU-Upgrades vor, wenn Sie die Leistung ein wenig steigern möchten. Wir haben den Aufbau mit günstigen Teilen für RAM, Speicher und Stromversorgung abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut läuft und den Test der Zeit übersteht.",Intel Core i3-12100,Gigabyte RTX 3050 8GB EAGLE OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,$716
28,29,Gaming-PC der Einstiegsklasse mit 1080p - AMD,"Dieser PC nutzt AMDs preisgünstige Ryzen-CPU, um großartige Gaming-Leistung zu liefern, ohne die Bank zu sprengen. Er richtet sich an Esports und weniger anspruchsvolle Titel mit 1080p, spielt aber auch AAA-Spiele und anspruchsvollere Titel mit reduzierten Einstellungen. Die AMD RX 6500XT ist derzeit die günstigste 1080p-Grafikkarte und bietet ein gutes Einstiegserlebnis. Wir stellen auch eine Reihe von GPU-Upgrades vor, wenn Sie die Leistung ein wenig steigern möchten. Wir haben den Aufbau mit preiswerten Teilen für RAM, Speicher und Netzteil abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut läuft und den Test der Zeit übersteht.",AMD Ryzen 5 5600,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B550M-A Pro,Silicon Power P34A60 512 GB,$584
29,30,Preiswerter 1080p-Gaming-PC - Intel,"Dieser PC nutzt Intels preisgünstige, aber leistungsstarke 4-Kern-i3-CPU der 12. Generation, um eine großartige Spieleleistung zu liefern, ohne das Budget zu sprengen. Er ist für Esports und weniger anspruchsvolle Titel mit 1080p ausgelegt, spielt aber auch AAA-Spiele und anspruchsvollere Titel mit reduzierten Einstellungen. Die PCIe 4.0-Fähigkeit sorgt dafür, dass die empfohlene 6500XT optimal arbeitet und eine gute 1080p-Grafiklösung für Einsteiger darstellt. Wir stellen auch eine Reihe von preiswerten GPU-Upgrades vor, falls Sie die Leistung noch etwas steigern möchten. Wir haben den Aufbau mit preiswerten Teilen für RAM, Speicher und Netzteil abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut läuft und den Test der Zeit übersteht.",Intel Core i3-12100,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,$577
30,31,Starter 1080p Gaming PC - AMD Integrierte Grafik,"Dieser PC verwendet die leistungsstarken ""APU""-Prozessoren von AMD. Sie haben einen integrierten Grafikprozessor, mit dem Sie Spiele spielen können, ohne eine separate GPU kaufen zu müssen. Sie sind in der Lage, einfachere 3D-Spiele mit 1080p und anspruchsvollere Spiele mit reduzierten Einstellungen gut wiederzugeben. Wir kombinieren dies mit Hochgeschwindigkeits-RAM, um die Leistung zu optimieren, und wählen die günstigsten Komponenten aus, damit Sie zu minimalen Kosten loslegen können. Wir haben uns für ein Netzteil entschieden, das das Hinzufügen einer GPU unterstützt, damit Sie diesen PC ohne zusätzliche Anschaffungen zu einem hervorragenden Allround-Gaming-PC aufrüsten können.",AMD Ryzen 5 5600G,Integrated graphics,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,$546
