,id,title,description,cpu,gpu,ram,motherboard,storage,price,cpu_id,gpu_id,ram_id,motherboard_id,disk_storage_id
10,11,Hochwertiger 1080p Gaming-PC - AMD,"Dieser PC nutzt die besten Komponenten von AMD, um ein rasantes Gaming-Kraftpaket zu schaffen. Mit einer leistungsstarken Zen 3-CPU, optimiertem Arbeitsspeicher und einem leistungsstarken Grafikprozessor liefert er ultimative Leistung in Ego-Shootern und kompetitiven Online-Spielen. Nutzen Sie die Leistung einer Nvidia-GPU fuer Streaming mit minimalen Auswirkungen auf Ihr eigenes Spiel. Mit fantastischen Qualitaetskomponenten repraesentiert dieser PC die beste Leistung, die AMD bieten kann.",AMD Ryzen 7 5800X,EVGA RTX 3070 LHR FTW3 Ultra Gaming iCX3,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550 Aorus Elite AX V2,Seagate FireCuda 520 2 TB,1617,11,11,11,11,11
11,12,Mittelklasse 4K Gaming PC - AMD,"Dieser PC bietet ein ausgewogenes Verhaeltnis zwischen Leistung und Wert, um den perfekten Sweet Spot zu finden. Sie erhalten die gesamte Leistung, einige nette Funktionen und das Aussehen, ohne zu viel Geld auszugeben. Wir haben einer Hochleistungs-Grafikkarte den Vorzug gegeben, um das Beste aus der Grafik der neuesten 4K-Spiele herauszuholen, und sie mit einer starken CPU gepaart. Dieser PC ist ein fantastischer Allrounder, der gleichermassen gut zum Spielen und Arbeiten geeignet ist.",AMD Ryzen 7 5800X,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,PNY XLR8 CS03040 1 TB,1614,12,12,12,12,12
12,13,Hochwertiger 1080p-Gaming-PC - Intel,"Dieser PC nutzt unsere erstklassigen Komponenten, um einen herausragenden Gaming-PC zu liefern. Er zielt auf eine aussergewoehnlich hohe Leistung in kompetitiven Shootern und eine atemberaubende Grafik in den neuesten AAA-Titeln ab. Ausserdem koennen Sie Ihr Spiel muehelos streamen. Wir haben die leistungsfaehigsten Komponenten und einen leistungsstarken Grafikprozessor ausgewaehlt, um sicherzustellen, dass es Ihrem PC an nichts mangelt.",Intel Core i5-12600KF,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Seagate FireCuda 520 2 TB,1609,13,13,13,13,13
13,14,Mittelklasse-Workstation fuer die Videobearbeitung PC,"Dieser PC ist mit den neuesten Komponenten ausgestattet, um eine hervorragende Workstation fuer die Videobearbeitung zu bieten. Optimiert fuer Anwendungen der Adobe Suite (Premiere Pro, After Effects) sowie andere beliebte Bearbeitungssoftware, verwendet er einen Hochleistungsprozessor, SSDs und RAM, um sicherzustellen, dass Sie ungehindert arbeiten koennen. Wir haben uns fuer DDR4-RAM entschieden, da die Leistung in fast allen Situationen mit DDR5 identisch ist, aber erhebliche Kosten gespart werden koennen. Sie koennen aus einer Reihe von Nvidia-GPUs waehlen, um Ihren Workflow und das Rendering von Videos zu beschleunigen. Der empfohlene RTX 3060 verfuegt ueber 12 GB VRAM und die neuesten RTX-Tensorkerne, um die Erstellung von 3D-Inhalten und sogar maschinelles Lernen auf Einstiegsniveau zu ermoeglichen. Die Laufwerke wurden so ausgewaehlt, dass sie Spitzenleistung ohne uebermaessige Kosten bieten, sodass Sie je nach Bedarf Scratch- und Archivlaufwerke hinzufuegen koennen. Nach getaner Arbeit laeuft dieses System auch mit den neuesten Spielen gut!",Intel Core i7-12700,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,ASRock Z690 Extreme,Crucial P5 Plus 1 TB,1414,14,14,14,14,14
14,15,Mittelklasse Flugsimulator 2020 PC - AMD,"Dieser PC ist fuer den Flight Simulator 2020 und aehnliche Simulatoren wie DCS World und XPlane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Es zielt auf ein grossartiges 1440p-Simulationserlebnis zu einem optimalen Preis ab, und Sie koennen die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewuenschten Leistung passen. Die AMD Ryzen 7-CPU ist gleichwertig mit Intels Alder Lake i5-12600K/i7-12700, und sobald die CPU-Upgrade-Option auf den Ryzen 5800X3D verfuegbar ist, wird dieses Geraet zu einem Flight Sim Powerhouse!",AMD Ryzen 7 5800X,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,1286,15,15,15,15,15
15,16,Mittelklasse 1440p Gaming PC - AMD,"Dieser PC findet die Balance, indem er die besten Komponenten verwendet, ohne das Budget zu sprengen. Wir haben uns fuer eine leistungsstarke AMD Ryzen 5-CPU, 16 GB Arbeitsspeicher, die auf Geschwindigkeit optimiert sind, und eine leistungsstarke Grafikkarte entschieden. Mit diesem vielseitigen System koennen Sie die neuesten AAA-Spiele mit hohen Einstellungen und guten Bildraten spielen, und es laesst sich auch gut streamen.",AMD Ryzen 5 5600,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,1180,16,16,16,16,16
16,17,Mittelklasse 1440p Gaming PC - Intel,"Dieser PC schafft den Spagat, die besten Komponenten zu verwenden, ohne das Budget zu sprengen. Wir haben uns fuer eine leistungsstarke Intel i5-CPU der 12. Generation, 16 GB RAM und eine leistungsstarke Grafikkarte entschieden. Mit diesem vielseitigen System koennen Sie die neuesten AAA-Spiele mit hohen Einstellungen und guten Frameraten spielen und auch gut streamen.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,1165,17,17,17,17,17
17,18,Guenstiger 4K-Gaming-PC - Intel,"Dieser PC verwendet preiswerte, aber leistungsstarke Komponenten und setzt auf eine leistungsstarke Grafikkarte, um das bestmoegliche 4K-Erlebnis fuer das Geld zu liefern. Die CPU und der Arbeitsspeicher sind fuer 4K 60FPS in anspruchsvollen AAA-Titeln optimiert, aber er ist ein vielseitiger Allrounder, der sich auch hervorragend fuer kreative oder administrative Arbeiten eignet.",Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,1159,18,18,18,18,18
18,19,Einstiegs-PC fuer die Videobearbeitung,"Dieser PC richtet sich an Personen, die in die Videobearbeitung einsteigen und kurze, weniger komplexe Produktionen wie Werbespots, Geschaeftsfilme oder YouTube-Inhalte erstellen moechten. Dennoch ist er in der Lage, 4K-Material zu verarbeiten und liefert eine hervorragende Leistung in Anwendungen wie Sony Vegas, Adobe Premiere Pro und DaVinci Resolve. Wir kombinieren eine leistungsfaehige, kostenguenstige CPU mit 32 GB RAM und einer hochwertigen SSD fuer optimale Leistung zu diesem Preis. Ausserdem fuegen wir einen Nvidia-Grafikprozessor hinzu, der viele Videobearbeitungsprozesse und -effekte sowie Transcodierungen und Renderings beschleunigt. Sie koennen den Grafikprozessor entfernen, um die Anschaffungskosten zu senken. Der PC funktioniert dann zwar immer noch, aber die Rendering-Leistung wird erheblich reduziert. Wir stellen eine Reihe von Speicheroptionen vor und empfehlen den Einbau einer separaten ""Scratch""-SSD, um die fluessige Bearbeitung und Dateiorganisation zu unterstuetzen. Dieser PC stellt die beste Videoproduktionsleistung dar, die derzeit zu diesem Preis erhaeltlich ist.",Intel Core i5-12400,Gigabyte RTX 3050 8GB EAGLE OC,OLOy ND4U1632161DJ0DA 32 GB DDR4-3200 CL16,Gigabyte B660 Aorus Master DDR4,PNY XLR8 CS03040 1 TB,1078,19,19,19,19,19
19,20,Mittelklasse 1080p Esports PC - AMD,"Dieser Build stellt das beste Preis-Leistungs-Verhaeltnis dar, das AMD derzeit zu bieten hat. Wir haben eine fantastische Zen 3-CPU mit optimiertem RAM gepaart, um die Leistung zu steigern. Es zielt auf leistungsstarkes 1080p-Gaming ab, mit hohen Frameraten in kompetitiven Spielen und wunderbarer Grafik in AAA-Titeln. Wir haben uns fuer eine Nvidia-GPU entschieden, da sie in Fortnite eine ueberragende Leistung bietet und der Nvenc Encoder fuer das Streaming mitgeliefert wird, aber du kannst auch zu einer AMD-GPU wechseln, wenn du das moechtest.",AMD Ryzen 5 5600,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,1004,20,20,20,20,20
20,21,Einsteiger-Flugsimulator PC - Intel,"Dieser PC ist fuer den Flight Simulator 2020 und aehnliche Simulatoren wie DCS World und X-Plane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Sie zielt auf ein grossartiges 1080p-Simulationserlebnis zu einem optimalen Preis ab und Sie koennen die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewuenschten Leistung passen.",Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Asus PRIME B660M-A D4,Silicon Power A60 1 TB,981,21,21,21,21,21
21,22,Einsteiger-Flugsimulator PC - AMD,"Dieser PC ist fuer den Flight Simulator 2020 und aehnliche Simulatoren wie DCS World und X-Plane 11 optimiert. Die Spezifikationen basieren auf unseren umfangreichen Tests, sodass wir zuversichtlich sind, dass dieser PC in dieser Preisklasse das Beste ist, was es gibt. Sie zielt auf ein grossartiges 1080p-Simulationserlebnis zu einem optimalen Preis ab und Sie koennen die Optionen so anpassen, dass sie zu Ihrem Budget und Ihrer gewuenschten Leistung passen.",AMD Ryzen 5 5600X,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,Team T-Force Dark Za 16 GB DDR4-3600 CL18,MSI B550M-A Pro,Silicon Power A60 1 TB,977,22,22,22,22,22
22,23,Mittelklasse 1080p Esports PC - Intel,"Dieser PC nutzt die leistungsstarken und preiswerten Intel-CPUs der 12. Generation, um eine fantastische Spieleleistung zu liefern. Wir optimieren die Wahl des Motherboards und des Arbeitsspeichers, um sicherzustellen, dass Sie das Beste aus der CPU herausholen, und bieten 1 TB SSD-Speicher an. Wir haben uns fuer den RTX 3060-Grafikprozessor entschieden, weil er in Fortnite eine ueberragende Leistung erbringt und einen NVENC-Encoder fuer das Streaming enthaelt, aber wir bieten auch AMD-Optionen an, falls Sie dies bevorzugen. Dieser PC wird sowohl in kompetitiven Spielen mit hohen FPS als auch in AAA-Titeln brillieren.",Intel Core i5-12400F,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,966,23,23,23,23,23
23,24,Kompakter 1080p-Gaming-PC - AMD,"Dieses Gehaeuse mit kleinem Formfaktor bietet viel Platz auf kleinem Raum! Er ist auf leistungsstarke 1080p-Spiele ausgerichtet und ideal, wenn Sie ihn mitnehmen muessen, wenig Platz haben oder einfach einen kleineren PC bevorzugen. Dank der vielseitigen Grafikkarte und der exzellenten Zen 3-CPU kommt er mit einer breiten Palette von Spielen gut zurecht. Das Gehaeuse wurde aufgrund seiner Flexibilitaet und des einfachen Aufbaus ausgewaehlt, wenn Sie neu im Bereich der PCs mit kleinem Formfaktor sind, sowie wegen seiner guten Kuehleigenschaften.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550I Aorus Pro AX,Silicon Power A60 1 TB,955,24,24,24,24,24
24,25,Preiswerter 1440p-Gaming-PC - Intel,"Dieser PC verwendet preiswerte Komponenten und einen starken Grafikprozessor, um eine gute Leistung bei Spielen mit einer Aufloesung von 1440p zu erzielen. Alle Komponenten wurden sorgfaeltig ausgewaehlt, um Ihnen das Beste fuer Ihr Geld zu bieten. Er spielt AAA-Titel gut bei mittleren bis hohen Grafikeinstellungen und ist ideal fuer Strategie- und andere langsamere Titel geeignet, aber er wird auch bei anspruchsvolleren AAA-Titeln und schnellen Shootern gut abschneiden!",Intel Core i5-10400F,Gigabyte RTX 3060 Ti Gaming OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M-A Pro,Silicon Power A60 1 TB,929,25,25,25,25,25
25,26,Mittelklasse 1080p Gaming PC - AMD,"Dieses Build stellt das beste Preis-Leistungs-Verhaeltnis dar, das AMD derzeit zu bieten hat. Unter Ausnutzung der juengsten Zen 3-Rabatte erhalten Sie eine fantastische CPU und eine starke GPU zum gleichen Preis. Es zielt auf leistungsstarkes 1080p-Gaming ab, mit hohen Frameraten in kompetitiven Spielen und wunderbarer Grafik in AAA-Titeln.",AMD Ryzen 5 5600,PowerColor RX 6600 XT Fighter,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,924,26,26,26,26,26
26,27,Mittelklasse 1080p Gaming PC - Intel,"Dieser PC verwendet die leistungsstarken und preiswerten Intel-CPUs der 12. Generation, um eine fantastische Spieleleistung zu erzielen. Wir optimieren die Wahl des Motherboards und des Arbeitsspeichers, um sicherzustellen, dass Sie das Beste aus der CPU herausholen, und bieten 1 TB SSD-Speicher an. Wir suchen nach dem niedrigsten Preis fuer GPUs, die eine gute Leistung bei 1080p-Aufloesung liefern. Dieser PC wird sowohl in kompetitiven Spielen mit hohen FPS als auch in AAA-Titeln brillieren.",Intel Core i5-12400F,PowerColor RX 6600 XT Fighter,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,886,27,27,27,27,27
27,28,Budget 1080p Esports Gaming PC - Intel,"Dieser PC nutzt Intels preisguenstige, aber leistungsstarke 4-Kern-i3-CPU der 12. Generation, um eine grossartige Spieleleistung zu liefern, ohne das Budget zu sprengen. Er zielt auf Esports und weniger anspruchsvolle Titel bei 1080p ab, spielt aber auch AAA-Spiele und anspruchsvollere Titel bei reduzierten Einstellungen. Wir haben uns fuer die Nvidia-Grafikkarte entschieden, da sie speziell in Fortnite eine hoehere Leistung bietet, aber Sie koennen auch aus AMD-Optionen waehlen, wenn Sie dies bevorzugen. Wir stellen auch eine Reihe von preiswerten GPU-Upgrades vor, wenn Sie die Leistung ein wenig steigern moechten. Wir haben den Aufbau mit guenstigen Teilen fuer RAM, Speicher und Stromversorgung abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut laeuft und den Test der Zeit uebersteht.",Intel Core i3-12100,Gigabyte RTX 3050 8GB EAGLE OC,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,716,28,28,28,28,28
28,29,Gaming-PC der Einstiegsklasse mit 1080p - AMD,"Dieser PC nutzt AMDs preisguenstige Ryzen-CPU, um grossartige Gaming-Leistung zu liefern, ohne die Bank zu sprengen. Er richtet sich an Esports und weniger anspruchsvolle Titel mit 1080p, spielt aber auch AAA-Spiele und anspruchsvollere Titel mit reduzierten Einstellungen. Die AMD RX 6500XT ist derzeit die guenstigste 1080p-Grafikkarte und bietet ein gutes Einstiegserlebnis. Wir stellen auch eine Reihe von GPU-Upgrades vor, wenn Sie die Leistung ein wenig steigern moechten. Wir haben den Aufbau mit preiswerten Teilen fuer RAM, Speicher und Netzteil abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut laeuft und den Test der Zeit uebersteht.",AMD Ryzen 5 5600,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B550M-A Pro,Silicon Power P34A60 512 GB,584,29,29,29,29,29
29,30,Preiswerter 1080p-Gaming-PC - Intel,"Dieser PC nutzt Intels preisguenstige, aber leistungsstarke 4-Kern-i3-CPU der 12. Generation, um eine grossartige Spieleleistung zu liefern, ohne das Budget zu sprengen. Er ist fuer Esports und weniger anspruchsvolle Titel mit 1080p ausgelegt, spielt aber auch AAA-Spiele und anspruchsvollere Titel mit reduzierten Einstellungen. Die PCIe 4.0-Faehigkeit sorgt dafuer, dass die empfohlene 6500XT optimal arbeitet und eine gute 1080p-Grafikloesung fuer Einsteiger darstellt. Wir stellen auch eine Reihe von preiswerten GPU-Upgrades vor, falls Sie die Leistung noch etwas steigern moechten. Wir haben den Aufbau mit preiswerten Teilen fuer RAM, Speicher und Netzteil abgerundet, um sicherzustellen, dass Sie einen PC erhalten, der gut laeuft und den Test der Zeit uebersteht.",Intel Core i3-12100,Sapphire RX 6500 XT PULSE,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,577,30,30,30,30,30
30,31,Starter 1080p Gaming PC - AMD Integrierte Grafik,"Dieser PC verwendet die leistungsstarken ""APU""-Prozessoren von AMD. Sie haben einen integrierten Grafikprozessor, mit dem Sie Spiele spielen koennen, ohne eine separate GPU kaufen zu muessen. Sie sind in der Lage, einfachere 3D-Spiele mit 1080p und anspruchsvollere Spiele mit reduzierten Einstellungen gut wiederzugeben. Wir kombinieren dies mit Hochgeschwindigkeits-RAM, um die Leistung zu optimieren, und waehlen die guenstigsten Komponenten aus, damit Sie zu minimalen Kosten loslegen koennen. Wir haben uns fuer ein Netzteil entschieden, das das Hinzufuegen einer GPU unterstuetzt, damit Sie diesen PC ohne zusaetzliche Anschaffungen zu einem hervorragenden Allround-Gaming-PC aufruesten koennen.",AMD Ryzen 5 5600G,Integrated graphics,Team T-Force Dark Za 16 GB DDR4-3600 CL18,Gigabyte B550M Aorus Pro-P,Silicon Power A60 1 TB,546,31,31,31,31,31
